IdRegistro	DecisionFinal	DecisionFinal
39.295	CONTRACARGO GANADO 	CONTRACARGO GANADO 
23.552	PETICION COPIA DE VALE	PETICION COPIA DE VALE
40.784	CONTRACARGO GANADO 	CONTRACARGO GANADO 
43.655	CONTRACARGO GANADO 	CONTRACARGO GANADO 
13.350	NO FACTURADO	NO FACTURADO
40.529	CONTRACARGO GANADO 	CONTRACARGO GANADO 
102.691	?	DUPLICADO
92.949	?	PAGA SOCIO
102.753	?	DUPLICADO
101.385	?	P&G
39.353	CONTRACARGO GANADO 	CONTRACARGO GANADO 
99.025	CONTRACARGADO	CONTRACARGADO
1.512	CONTRACARGO GANADO 	CONTRACARGO GANADO 
104.033	?	PETICION COPIA DE VALE
104.230	?	ANULADO
104.208	?	ANULADO
2.101	PAGA SOCIO	PAGA SOCIO
26.768	PAGA SOCIO	PAGA SOCIO
41.700	CONTRACARGO GANADO 	CONTRACARGO GANADO 
89.299	PETICION COPIA DE VALE	PETICION COPIA DE VALE
102.706	?	DUPLICADO
102.715	?	DUPLICADO
102.478	?	CONTRACARGADO
27.329	PAGA SOCIO	PAGA SOCIO
102.461	?	CONTRACARGADO
100.428	CONTRACARGADO	CONTRACARGADO
19.148	CONTRACARGO GANADO 	CONTRACARGO GANADO 
102.264	?	PETICION COPIA DE VALE
102.192	?	CONTRACARGADO
97.791	SOCIO RECONOCE CONSUMO	SOCIO RECONOCE CONSUMO
101.362	?	CONTRACARGADO
25.942	PAGA SOCIO	PAGA SOCIO
102.463	?	CONTRACARGADO
13.727	NO FACTURADO	NO FACTURADO
24.916	CONTRACARGO GANADO 	CONTRACARGO GANADO 
102.710	?	DUPLICADO
99.068	CONTRACARGADO	CONTRACARGADO
17.101	CONTRACARGO PERDIDO	CONTRACARGO PERDIDO
3.786	CONTRACARGO GANADO 	CONTRACARGO GANADO 
29.511	CONTRACARGO GANADO 	CONTRACARGO GANADO 
29.491	CONTRACARGO GANADO 	CONTRACARGO GANADO 
101.550	?	P&G
71.107	PETICION COPIA DE VALE	PETICION COPIA DE VALE
99.404	CONTRACARGADO	CONTRACARGADO
96.136	DEBITO COMERCIO	DEBITO COMERCIO
9.629	CONTRACARGO GANADO 	CONTRACARGO GANADO 
7.767	NO FACTURADO	NO FACTURADO
104.197	?	DEBITO COMERCIO
25.395	PAGA SOCIO	PAGA SOCIO
98.556	CONTRACARGADO	CONTRACARGADO
101.738	?	P&G
1.518	CONTRACARGO GANADO 	CONTRACARGO GANADO 
101.284	?	P&G
102.248	?	PETICION COPIA DE VALE
